Gene ID	Gene Name	SRR1028343	SRR1028346	SRR1028347	SRR1028344	SRR1028349	SRR1028348	SRR1028345
ENSG00000005339	CREBBP	5853	14186	3558	3892	6564	8951	13128
ENSG00000005379	TSPOAP1	522	831	183	259	353	470	754
ENSG00000005381	MPO	1	0	2	2	7	10	0
ENSG00000005421	PON1	1	3	3	0	6	4	2
ENSG00000005436	GCFC2	1041	2171	708	824	1056	1187	1653
ENSG00000005448	WDR54	1101	2167	802	1079	1185	1699	2089
ENSG00000005469	CROT	239	463	155	186	203	241	415
ENSG00000005471	ABCB4	94	312	37	72	27	22	249
ENSG00000005483	KMT2E	4467	10324	2247	2838	2687	3316	8934
ENSG00000005486	RHBDD2	1662	2359	812	1273	1062	1490	2390
ENSG00000005513	SOX8	838	1182	404	453	735	974	1189
ENSG00000005700	IBTK	2130	4435	1883	1787	3266	3679	3544
ENSG00000005801	ZNF195	1484	2978	1481	1431	2396	3055	2439
ENSG00000005810	MYCBP2	2402	5514	1848	1541	3146	3650	4778
ENSG00000005812	FBXL3	578	1209	323	463	520	553	1009
ENSG00000005844	ITGAL	4	6	5	1	5	8	4
ENSG00000005882	PDK2	535	835	411	419	320	416	816
ENSG00000005884	ITGA3	1584	1456	1741	1731	2143	2845	1421
ENSG00000005889	ZFX	1394	3089	778	933	1584	2049	2660
ENSG00000005893	LAMP2	2957	5073	2464	2020	2601	3157	4062
ENSG00000005961	ITGA2B	195	484	199	181	194	288	482
ENSG00000005981	ASB4	92	20	0	27	0	0	37
ENSG00000006007	GDE1	2057	3454	2125	1782	2953	3907	3048
ENSG00000006015	REX1BD	766	1238	485	750	676	971	1182
ENSG00000006016	CRLF1	155	975	623	246	2602	3750	923
ENSG00000006025	OSBPL7	262	440	129	204	190	239	504
ENSG00000006042	TMEM98	2342	4579	1229	1971	1682	2270	4153
ENSG00000006047	YBX2	339	580	770	426	1168	1541	488
ENSG00000006059	KRT33A	0	1	0	0	0	0	0
ENSG00000006062	MAP3K14	241	489	138	222	136	177	449
ENSG00000006071	ABCC8	50	119	34	35	65	110	94
ENSG00000006116	CACNG3	78	11	0	16	3	3	9
ENSG00000006118	TMEM132A	4373	6919	1294	2814	2052	2904	7025
ENSG00000006125	AP2B1	13901	27894	12075	11221	14624	18943	24156
ENSG00000006128	TAC1	77	10	32	29	40	38	10
ENSG00000006194	ZNF263	1091	1793	1135	839	1580	2120	1662
ENSG00000006210	CX3CL1	560	700	52	364	29	44	717
ENSG00000006282	SPATA20	979	1704	627	855	592	879	1564
ENSG00000006283	CACNA1G	679	1959	244	395	599	794	1970
ENSG00000006327	TNFRSF12A	970	1119	1269	1137	1510	2094	1137
ENSG00000006377	DLX6	20	17	72	6	2	0	14
ENSG00000006432	MAP3K9	1126	3605	1706	1073	2234	2948	3220
ENSG00000006451	RALA	2762	5173	4352	2602	5930	7671	4283
ENSG00000006453	BAIAP2L1	545	1311	1089	659	1460	1779	1181
ENSG00000006459	KDM7A	979	2214	829	709	919	1169	1780
ENSG00000006468	ETV1	2802	4423	2711	1966	5412	6918	3681
ENSG00000006530	AGK	1197	2231	1040	1121	1267	1574	2044
ENSG00000006534	ALDH3B1	83	104	84	66	105	165	115
ENSG00000006555	TTC22	16	2	34	11	46	70	4
ENSG00000006576	PHTF2	1371	2998	1099	1120	1524	1748	2509
ENSG00000006606	CCL26	32	43	7	47	21	35	42
ENSG00000006607	FARP2	1366	2819	932	971	1355	1759	2417
ENSG00000006611	USH1C	31	27	30	19	25	21	20
ENSG00000006625	GGCT	821	1471	1419	873	2269	2901	1320
ENSG00000006634	DBF4	1208	2708	1059	1226	1944	2350	2250
ENSG00000006638	TBXA2R	48	148	14	45	34	41	157
ENSG00000006652	IFRD1	1044	2170	1045	792	1898	2414	1880
ENSG00000006659	LGALS14	1	2	1	0	3	1	0
ENSG00000006695	COX10	610	1261	760	550	1175	1556	1212
ENSG00000006704	GTF2IRD1	1328	2509	1360	948	1209	1702	2461
ENSG00000006712	PAF1	1748	2702	772	1257	1419	1878	2633
ENSG00000006715	VPS41	2180	4058	2134	1586	4049	4800	3425
ENSG00000006740	ARHGAP44	451	927	846	370	840	1065	908
ENSG00000006744	ELAC2	3055	5300	3332	2889	4936	6877	5195
ENSG00000006747	SCIN	19	11	171	14	285	353	8
ENSG00000006756	ARSD	329	521	315	221	282	382	464
ENSG00000006757	PNPLA4	457	901	348	456	558	731	784
ENSG00000006788	MYH13	0	0	1	2	0	2	0
ENSG00000006831	ADIPOR2	2363	5378	1567	1903	2748	3404	4752
ENSG00000006837	CDKL3	31	68	20	28	15	38	63
ENSG00000007001	UPP2	3	7	1	3	1	5	4
ENSG00000007038	PRSS21	1	1	7	2	10	9	2
ENSG00000007047	MARK4	2296	4254	2018	1841	1807	2390	4006
ENSG00000007062	PROM1	1765	1622	2151	1233	2948	3677	1425
ENSG00000007080	CCDC124	1907	2848	1391	1652	2100	3048	2952
ENSG00000007129	CEACAM21	19	42	2	14	3	4	48
ENSG00000007168	PAFAH1B1	6332	12175	3584	4539	5973	7370	10473
ENSG00000007171	NOS2	23	25	44	31	74	113	24
ENSG00000007174	DNAH9	128	183	13	52	30	39	187
ENSG00000007202	KIAA0100	5471	12192	4447	4020	7287	9398	11220
ENSG00000007216	SLC13A2	0	0	1	0	0	1	1
ENSG00000007237	GAS7	2981	2352	819	1064	778	977	2162
ENSG00000007255	TRAPPC6A	657	827	656	731	623	851	875
ENSG00000007264	MATK	242	183	719	243	1067	1437	216
ENSG00000007306	CEACAM7	0	0	2	2	3	2	0
ENSG00000007312	CD79B	34	76	19	42	30	31	82
ENSG00000007314	SCN4A	140	358	369	155	386	595	339
ENSG00000007341	ST7L	262	526	172	207	246	343	426
ENSG00000007350	TKTL1	68	45	0	20	2	0	48
ENSG00000007372	PAX6	1027	591	28	377	6	6	516
ENSG00000007376	RPUSD1	725	1026	648	750	1057	1510	993
ENSG00000007384	RHBDF1	770	1869	617	813	620	820	1863
ENSG00000007392	LUC7L	1679	4347	1042	1420	2369	3294	3902
ENSG00000007402	CACNA2D2	1239	2552	1784	1189	1316	1862	2366
ENSG00000007516	BAIAP3	234	350	272	171	608	760	362
ENSG00000007520	TSR3	949	1388	621	793	960	1398	1299
ENSG00000007541	PIGQ	966	1565	376	787	591	819	1587
ENSG00000007545	CRAMP1	674	1363	433	483	576	737	1255
ENSG00000007866	TEAD3	1775	2530	1733	1237	1323	1814	2564
ENSG00000007908	SELE	1	1	4	0	1	0	1
ENSG00000007923	DNAJC11	1530	3086	1379	1365	3087	4037	2833
ENSG00000007933	FMO3	0	2	1	1	2	2	6
ENSG00000007944	MYLIP	588	615	867	506	910	1126	555
ENSG00000007952	NOX1	15	47	6	15	12	13	19
ENSG00000007968	E2F2	760	1185	239	466	385	483	1119
ENSG00000008018	PSMB1	4514	6538	4450	4960	6827	8471	5783
ENSG00000008056	SYN1	206	274	172	181	325	476	282
ENSG00000008083	JARID2	6751	12547	14922	6620	26100	33771	11306
ENSG00000008086	CDKL5	865	2678	1121	791	2175	2555	2243
ENSG00000008118	CAMK1G	94	134	52	68	11	14	137
ENSG00000008128	CDK11A	31	81	18	24	54	55	80
ENSG00000008130	NADK	1642	2893	1382	1364	1780	2341	2699
ENSG00000008196	TFAP2B	1085	384	52	415	1	0	333
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	75	835	8	97	15	25	873
ENSG00000008256	CYTH3	1048	1570	1047	646	1252	1626	1493
ENSG00000008277	ADAM22	538	1099	512	431	790	1016	933
ENSG00000008282	SYPL1	1808	4162	1974	1757	2960	3614	3252
ENSG00000008283	CYB561	517	806	833	548	1268	1637	738
ENSG00000008294	SPAG9	5989	9594	2599	3433	2553	3373	8360
ENSG00000008300	CELSR3	2857	6418	2452	2085	3469	4756	6194
ENSG00000008311	AASS	1733	3941	6957	1365	12478	14983	3155
ENSG00000008323	PLEKHG6	297	426	763	394	765	1006	415
ENSG00000008324	SS18L2	465	772	396	512	831	955	635
ENSG00000008382	MPND	525	810	367	412	296	431	774
ENSG00000008394	MGST1	2540	5043	4192	3255	7186	8592	4319
ENSG00000008405	CRY1	1787	2598	1038	1162	1117	1442	2266
ENSG00000008438	PGLYRP1	1	18	4	1	7	11	15
ENSG00000008441	NFIX	579	274	216	224	350	493	273
ENSG00000008513	ST3GAL1	533	1068	391	331	457	619	974
ENSG00000008516	MMP25	457	1415	819	570	1135	1501	1364
ENSG00000008517	IL32	132	182	32	194	23	47	163
ENSG00000008710	PKD1	1882	3974	834	1268	1440	2016	4021
ENSG00000008735	MAPK8IP2	651	296	143	243	374	532	223
ENSG00000008838	MED24	3581	5926	2128	2800	3263	4443	5738
ENSG00000008853	RHOBTB2	1072	1258	393	592	409	591	1256
ENSG00000008869	HEATR5B	1104	2253	940	791	1156	1419	1965
ENSG00000008952	SEC62	3581	6660	2534	2770	3890	4756	5170
ENSG00000008988	RPS20	10896	17439	7374	9343	11735	15970	16214
ENSG00000009307	CSDE1	24753	53680	23076	20230	33529	42195	46108
ENSG00000009335	UBE3C	2706	6327	2952	2409	4043	5112	5564
ENSG00000009413	REV3L	1409	2641	714	660	839	980	2197
ENSG00000009694	TENM1	400	440	31	125	45	37	340
ENSG00000009709	PAX7	925	270	18	206	1	1	250
ENSG00000009724	MASP2	68	134	29	41	46	49	119
ENSG00000009765	IYD	0	0	1	0	0	1	0
ENSG00000009780	FAM76A	334	633	343	267	421	557	493
ENSG00000009790	TRAF3IP3	4	20	8	7	4	7	16
ENSG00000009830	POMT2	1179	2515	607	880	1020	1411	2233
ENSG00000009844	VTA1	2419	4220	2148	2076	3553	4240	3449
ENSG00000009950	MLXIPL	68	135	158	80	122	168	111
ENSG00000009954	BAZ1B	6966	15730	4690	5024	9054	11874	13835
ENSG00000010017	RANBP9	1890	3503	1497	1387	1659	2082	2869
ENSG00000010030	ETV7	9	8	39	7	19	25	7
ENSG00000010072	SPRTN	498	848	281	399	586	722	701
ENSG00000010165	EEF1AKNMT	1666	3075	1669	1461	3501	4873	2835
ENSG00000010219	DYRK4	275	381	110	230	149	204	338
ENSG00000010244	ZNF207	5877	12746	4936	5397	8390	10974	10997
ENSG00000010256	UQCRC1	4938	7716	4738	4835	6829	9216	7480
ENSG00000010270	STARD3NL	1585	3137	1301	1327	1932	2272	2628
ENSG00000010278	CD9	2332	4083	3480	3069	6385	8357	3426
ENSG00000010282	HHATL	1	1	0	1	0	0	0
ENSG00000010292	NCAPD2	8683	19230	7542	7063	9444	12270	17791
ENSG00000010295	IFFO1	536	929	244	407	308	452	915
ENSG00000010310	GIPR	24	46	40	11	42	46	40
ENSG00000010318	PHF7	168	303	263	158	269	372	312
ENSG00000010319	SEMA3G	91	300	91	116	39	47	275
ENSG00000010322	NISCH	4956	10772	2700	3648	4057	5603	10478
ENSG00000010327	STAB1	7	9	39	11	31	46	3
ENSG00000010361	FUZ	526	992	530	551	741	1049	955
ENSG00000010379	SLC6A13	1	5	1	2	0	0	4
ENSG00000010404	IDS	2327	3495	1296	1445	1298	1510	2919
ENSG00000010438	PRSS3	5	4	6	1	3	2	2
ENSG00000010539	ZNF200	313	682	331	268	911	1137	587
ENSG00000010610	CD4	130	526	64	107	57	83	489
ENSG00000010626	LRRC23	156	189	88	96	83	97	173
ENSG00000010671	BTK	12	29	18	10	40	78	21
ENSG00000010704	HFE	107	136	58	90	94	119	109
ENSG00000010803	SCMH1	1101	1944	515	688	671	875	1827
ENSG00000010810	FYN	5118	8282	1567	3005	2483	3355	7599
ENSG00000010818	HIVEP2	856	1240	894	596	1177	1501	1108
ENSG00000010932	FMO1	18	20	12	5	7	1	17
ENSG00000011007	ELOA	2031	3877	1891	1821	3849	5046	3403
ENSG00000011009	LYPLA2	1861	2851	2112	2007	3443	4675	2874
ENSG00000011021	CLCN6	1335	2618	919	878	1029	1336	2495
ENSG00000011028	MRC2	11227	9044	2681	5398	3286	4395	8547
ENSG00000011052	NME1-NME2	8	31	3	7	5	1	38
ENSG00000011083	SLC6A7	2	6	0	4	6	0	4
ENSG00000011105	TSPAN9	2061	3798	1116	1566	1630	2146	3657
ENSG00000011114	BTBD7	2080	5700	1750	1557	1964	2490	4658
ENSG00000011132	APBA3	435	784	343	421	520	694	763
ENSG00000011143	MKS1	726	1132	496	616	679	869	1131
ENSG00000011198	ABHD5	604	885	455	502	646	797	765
ENSG00000011201	ANOS1	1723	2923	1844	1983	6408	7696	2488
ENSG00000011243	AKAP8L	1720	3439	1270	1428	1634	2170	3489
ENSG00000011258	MBTD1	3456	7417	3119	2843	4636	5549	6011
ENSG00000011260	UTP18	1686	3575	2218	1837	3482	4481	3144
ENSG00000011275	RNF216	1969	3889	2540	1463	3058	4029	3621
ENSG00000011295	TTC19	2116	3625	2250	1845	3028	3667	3034
ENSG00000011304	PTBP1	13696	30270	13439	12580	24957	33321	28370
ENSG00000011332	DPF1	427	375	164	209	574	811	338
ENSG00000011347	SYT7	1041	1015	1835	526	541	735	1021
ENSG00000011376	LARS2	1941	4209	2572	1836	4408	5672	3964
ENSG00000011405	PIK3C2A	3975	10998	4630	3612	7179	7915	9028
ENSG00000011422	PLAUR	316	824	237	347	319	445	822
ENSG00000011426	ANLN	3698	11011	5362	3537	7231	8641	9477
ENSG00000011451	WIZ	3690	5048	1754	2481	2219	2982	4795
ENSG00000011454	RABGAP1	2733	5547	1763	1795	2136	2716	4828
ENSG00000011465	DCN	6635	5575	9189	4281	11570	14929	4679
ENSG00000011478	QPCTL	591	865	711	562	701	949	809
ENSG00000011485	PPP5C	2818	4727	2432	2454	3877	5486	4701
ENSG00000011523	CEP68	1653	3384	1289	1238	1693	2301	3153
ENSG00000011566	MAP4K3	1752	3606	2058	1494	3145	3820	2910
ENSG00000011590	ZBTB32	8	12	22	6	34	43	12
ENSG00000011600	TYROBP	1	0	0	0	0	5	0
ENSG00000011638	TMEM159	734	1209	851	605	743	885	959
ENSG00000011677	GABRA3	212	309	123	141	461	560	308
ENSG00000012048	BRCA1	1812	4685	1633	1433	2711	3393	3970
ENSG00000012061	ERCC1	1274	2195	826	1214	827	1129	2221
ENSG00000012124	CD22	16	14	5	8	1	4	10
ENSG00000012171	SEMA3B	183	459	112	162	120	182	552
ENSG00000012174	MBTPS2	981	2042	746	675	2021	2375	1611
ENSG00000012211	PRICKLE3	181	381	367	189	334	462	374
ENSG00000012223	LTF	0	1	5	1	9	12	2
ENSG00000012232	EXTL3	8097	11756	4884	5925	6429	8453	11029
ENSG00000012504	NR1H4	5	0	0	1	0	1	0
ENSG00000012660	ELOVL5	4960	11844	4344	4416	5895	7386	9726
ENSG00000012779	ALOX5	94	46	122	53	58	79	59
ENSG00000012817	KDM5D	32	40	31	14	46	65	30
ENSG00000012822	CALCOCO1	1386	1986	607	926	559	828	1860
ENSG00000012963	UBR7	1706	3268	1058	1483	1443	1790	2857
ENSG00000012983	MAP4K5	1789	3786	1211	1267	1871	2255	3207
ENSG00000013016	EHD3	822	1548	945	663	1186	1648	1488
ENSG00000013275	PSMC4	2442	4076	2202	2313	4672	6337	3774
ENSG00000013288	MAN2B2	812	1224	513	466	690	851	1169
ENSG00000013293	SLC7A14	73	142	41	66	68	76	124
ENSG00000013297	CLDN11	476	1877	90	406	129	174	1643
ENSG00000013306	SLC25A39	2689	4400	4275	2900	5608	7674	4312
ENSG00000013364	MVP	617	670	634	465	781	985	706
ENSG00000013374	NUB1	1606	2976	1344	1360	1712	2262	2687
ENSG00000013375	PGM3	1867	3547	1814	1414	2017	2403	3010
ENSG00000013392	RWDD2A	328	423	226	263	276	326	376
ENSG00000013441	CLK1	1117	2353	514	827	686	790	1962
ENSG00000013503	POLR3B	593	1516	500	508	1131	1497	1338
ENSG00000013523	ANGEL1	1411	3236	1259	1129	1352	1720	3121
ENSG00000013561	RNF14	993	1519	786	690	966	1237	1251
ENSG00000013563	DNASE1L1	209	311	218	183	194	252	276
ENSG00000013573	DDX11	815	2114	643	791	1390	1968	2078
ENSG00000013583	HEBP1	736	1053	855	735	756	983	983
ENSG00000013588	GPRC5A	34	22	67	17	40	56	23
ENSG00000013619	MAMLD1	291	216	29	145	21	37	194
ENSG00000013725	CD6	15	16	11	6	10	9	13
ENSG00000013810	TACC3	5439	10300	4311	5109	6931	9181	9837
ENSG00000014123	UFL1	1427	2922	1295	1151	1324	1560	2324
ENSG00000014138	POLA2	263	615	204	256	381	496	563
ENSG00000014164	ZC3H3	947	1630	933	801	1150	1614	1633
ENSG00000014216	CAPN1	3825	5762	6029	4147	8486	11595	5589
ENSG00000014257	ACP3	91	207	404	106	193	225	183
ENSG00000014641	MDH1	4428	6708	5040	4687	6107	7830	5881
ENSG00000014824	SLC30A9	3568	6804	2971	3064	4317	5447	5723
ENSG00000014914	MTMR11	231	347	64	114	56	66	362
ENSG00000014919	COX15	1268	2402	1130	1045	1478	1905	2085
ENSG00000015133	CCDC88C	1664	3270	1872	1217	1896	2446	3192
ENSG00000015153	YAF2	514	1066	63	353	57	65	846
ENSG00000015171	ZMYND11	2208	3688	1081	1331	1428	1888	3219
ENSG00000015285	WAS	16	28	21	14	20	29	26
ENSG00000015413	DPEP1	66	123	47	70	17	27	144
ENSG00000015475	BID	634	1302	624	560	823	1016	1184
ENSG00000015479	MATR3	161	691	121	143	219	287	657
ENSG00000015520	NPC1L1	16	30	9	13	2	8	35
ENSG00000015532	XYLT2	1321	2670	1215	1282	1618	2188	2479
ENSG00000015568	RGPD5	2	1	0	2	0	0	2
ENSG00000015592	STMN4	395	32	4	116	5	7	32
ENSG00000015676	NUDCD3	3017	5219	3342	2461	4926	6598	5037
ENSG00000016082	ISL1	26	25	157	13	27	41	28
ENSG00000016391	CHDH	346	659	446	376	469	606	653
ENSG00000016402	IL20RA	20	46	54	37	63	67	32
ENSG00000016490	CLCA1	5	0	1	1	1	2	1
ENSG00000016602	CLCA4	0	0	0	0	0	0	1
ENSG00000016864	GLT8D1	1718	2840	1141	1479	1422	1784	2410
ENSG00000017260	ATP2C1	3377	7197	3416	2744	4703	5817	5841
ENSG00000017427	IGF1	4	5	0	1	2	2	5
ENSG00000017483	SLC38A5	294	467	444	422	1124	1555	536
ENSG00000017797	RALBP1	2965	5964	2977	2510	3200	4201	5228
ENSG00000018189	RUFY3	2781	3268	979	1279	896	1188	2794
ENSG00000018236	CNTN1	304	140	797	160	1719	2014	89
ENSG00000018280	SLC11A1	2	4	4	3	3	5	2
ENSG00000018408	WWTR1	3100	5020	1243	1659	1966	2400	4197
ENSG00000018510	AGPS	2641	6731	2312	2272	3794	4526	5333
ENSG00000018607	ZNF806	2	3	1	3	0	1	4
ENSG00000018610	STEEP1	659	1177	601	646	1053	1323	1017
ENSG00000018625	ATP1A2	4414	20340	789	3328	258	365	19224
ENSG00000018699	TTC27	941	1872	1073	863	1518	1947	1532
ENSG00000018869	ZNF582	186	296	138	132	221	306	270
ENSG00000019102	VSIG2	19	19	7	22	4	14	13
ENSG00000019144	PHLDB1	3234	5079	1620	2041	2070	2894	4926
ENSG00000019169	MARCO	1	1	0	0	0	0	0
ENSG00000019186	CYP24A1	23	17	5	13	10	10	11
ENSG00000019485	PRDM11	605	1393	458	505	646	863	1317
ENSG00000019505	SYT13	592	455	1012	342	1306	1653	363
ENSG00000019549	SNAI2	456	1376	147	314	163	230	1045
ENSG00000019582	CD74	396	409	679	329	812	1112	384
ENSG00000019991	HGF	273	259	86	59	59	65	191
ENSG00000019995	ZRANB1	831	1767	870	632	1107	1405	1558
ENSG00000020129	NCDN	1534	2487	969	1337	2430	3259	2333
ENSG00000020181	ADGRA2	760	1239	427	355	762	1008	1288
ENSG00000020219	CCT8L1P	0	2	1	0	0	1	1
ENSG00000020256	ZFP64	1101	2255	900	933	1299	1675	2201
ENSG00000020426	MNAT1	501	977	526	496	803	1051	854
ENSG00000020577	SAMD4A	963	1427	352	600	715	851	1220
ENSG00000020633	RUNX3	23	115	63	38	65	73	87
ENSG00000020922	MRE11	1573	3929	1514	1424	2156	2728	3352
ENSG00000021300	PLEKHB1	511	865	385	407	276	369	864
ENSG00000021355	SERPINB1	559	1117	294	613	255	372	863
ENSG00000021461	CYP3A43	5	3	0	0	0	3	3
ENSG00000021488	SLC7A9	2	4	4	1	0	0	4
ENSG00000021574	SPAST	2129	3487	1265	1388	2292	2655	2763
ENSG00000021645	NRXN3	369	1921	176	333	245	253	1702
ENSG00000021762	OSBPL5	955	1540	394	642	337	513	1618
ENSG00000021776	AQR	3137	7737	4217	2979	7178	8657	6521
ENSG00000021826	CPS1	2952	10241	705	2349	1226	1365	8830
ENSG00000021852	C8B	0	0	0	0	0	0	0
ENSG00000022267	FHL1	1613	2089	1121	928	1821	2393	1781
ENSG00000022277	RTF2	1665	2550	1334	1273	2202	2947	2348
ENSG00000022355	GABRA1	4	21	3	8	1	3	9
ENSG00000022556	NLRP2	655	26	2767	381	4835	6587	34
ENSG00000022567	SLC45A4	682	1720	559	599	1037	1386	1611
ENSG00000022840	RNF10	4901	10277	4954	4646	7777	10508	9144
ENSG00000022976	ZNF839	261	557	243	258	327	412	537
ENSG00000023041	ZDHHC6	909	1952	411	664	1240	1520	1651
ENSG00000023171	GRAMD1B	582	1351	528	501	362	571	1246
ENSG00000023191	RNH1	1927	2776	1532	1492	2088	2856	2773
ENSG00000023228	NDUFS1	4285	8186	3612	3581	5983	7428	6895
ENSG00000023287	RB1CC1	3608	8171	3249	2812	4860	5718	6653
ENSG00000023318	ERP44	1636	3247	1588	1553	2343	2955	2687
ENSG00000023330	ALAS1	1543	2440	1488	1371	2350	3062	2290
ENSG00000023445	BIRC3	27	25	32	12	23	30	28
ENSG00000023516	AKAP11	3092	7388	1675	2048	3336	3783	5962
ENSG00000023572	GLRX2	452	826	254	432	546	626	646
ENSG00000023608	SNAPC1	417	727	450	398	562	645	658
ENSG00000023697	DERA	1001	2137	645	851	542	625	1843
